movie_name	ranking	review	score
			
肖申克的救赎	1	希望让人自由。	9.6
			
霸王别姬	2	风华绝代。	9.6
			
这个杀手不太冷	3	怪蜀黍和小萝莉不得不说的故事。	9.4
			
阿甘正传	4	一部美国近现代史。	9.4
			
美丽人生	5	最美的谎言。	9.5
			
泰坦尼克号	6	失去的才是永恒的。 	9.3
			
千与千寻	7	最好的宫崎骏，最好的久石让。 	9.3
			
辛德勒的名单	8	拯救一个人，就是拯救整个世界。	9.5
			
盗梦空间	9	诺兰给了我们一场无法盗取的梦。	9.3
			
机器人总动员	10	小瓦力，大人生。	9.3
			
忠犬八公的故事	11	永远都不能忘记你所爱的人。	9.3
			
三傻大闹宝莱坞	12	英俊版憨豆，高情商版谢耳朵。	9.2
			
海上钢琴师	13	每个人都要走一条自己坚定了的路，就算是粉身碎骨。 	9.2
			
放牛班的春天	14	天籁一般的童声，是最接近上帝的存在。 	9.2
			
大话西游之大圣娶亲	15	一生所爱。	9.2
			
楚门的世界	16	如果再也不能见到你，祝你早安，午安，晚安。	9.2
			
教父	17	千万不要记恨你的对手，这样会让你失去理智。	9.2
			
龙猫	18	人人心中都有个龙猫，童年就永远不会消失。	9.1
			
星际穿越	19	爱是一种力量，让我们超越时空感知它的存在。	9.2
			
熔炉	20	我们一路奋战不是为了改变世界，而是为了不让世界改变我们。	9.2
			
无间道	21	香港电影史上永不过时的杰作。	9.1
			
触不可及	22	满满温情的高雅喜剧。	9.2
			
当幸福来敲门	23	平民励志片。 	9
			
乱世佳人	24	Tomorrow is another day.	9.2
			
怦然心动	25	真正的幸福是来自内心深处。	9
			
疯狂动物城	26	迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。	9.1
			
天堂电影院	27	那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。	9.1
			
蝙蝠侠：黑暗骑士	28	无尽的黑暗。	9.1
			
活着	29	张艺谋最好的电影。	9.1
			
十二怒汉	30	1957年的理想主义。 	9.4
			
鬼子来了	31	对敌人的仁慈，就是对自己残忍。	9.2
			
少年派的奇幻漂流	32	瑰丽壮观、无人能及的冒险之旅。	9
			
指环王3：王者无敌	33	史诗的终章。	9.1
			
搏击俱乐部	34	邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。	9
			
